"name","rank","change_in_rank","companyRevenue","companyProfit","companySize"
"Walmart","1","0","[{""revenues"":""572754.0"",""revenuePercentChange"":""2.4""}]","[{""profits"":""13673.0"",""profitPercentChange"":""1.2""}]","[{""assets"":""244860.0"",""marketValue"":""409795.0"",""employeeCount"":""2300000""}]"
"Amazon","2","0","[{""revenues"":""469822.0"",""revenuePercentChange"":""21.7""}]","[{""profits"":""33364.0"",""profitPercentChange"":""56.4""}]","[{""assets"":""420549.0"",""marketValue"":""1658807.3"",""employeeCount"":""1608000""}]"
"Apple","3","0","[{""revenues"":""365817.0"",""revenuePercentChange"":""33.3""}]","[{""profits"":""94680.0"",""profitPercentChange"":""64.9""}]","[{""assets"":""351002.0"",""marketValue"":""2849537.6"",""employeeCount"":""154000""}]"
"CVS Health","4","0","[{""revenues"":""292111.0"",""revenuePercentChange"":""8.7""}]","[{""profits"":""7910.0"",""profitPercentChange"":""10.2""}]","[{""assets"":""232999.0"",""marketValue"":""132839.2"",""employeeCount"":""258000""}]"
"UnitedHealth Group","5","0","[{""revenues"":""287597.0"",""revenuePercentChange"":""11.8""}]","[{""profits"":""17285.0"",""profitPercentChange"":""12.2""}]","[{""assets"":""212206.0"",""marketValue"":""479830.3"",""employeeCount"":""350000""}]"
"Exxon Mobil","6","4","[{""revenues"":""285640.0"",""revenuePercentChange"":""57.4""}]","[{""profits"":""23040.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""338923.0"",""marketValue"":""349652.4"",""employeeCount"":""63000""}]"
"Berkshire Hathaway","7","-1","[{""revenues"":""276094.0"",""revenuePercentChange"":""12.5""}]","[{""profits"":""89795.0"",""profitPercentChange"":""111.2""}]","[{""assets"":""958784.0"",""marketValue"":""779542.3"",""employeeCount"":""372000""}]"
"Alphabet","8","1","[{""revenues"":""257637.0"",""revenuePercentChange"":""41.2""}]","[{""profits"":""76033.0"",""profitPercentChange"":""88.8""}]","[{""assets"":""359268.0"",""marketValue"":""1842326.1"",""employeeCount"":""156500""}]"
"McKesson","9","-2","[{""revenues"":""238228.0"",""revenuePercentChange"":""3.1""}]","[{""profits"":""-4539.0"",""profitPercentChange"":""-604.3""}]","[{""assets"":""65015.0"",""marketValue"":""45857.8"",""employeeCount"":""67500""}]"
"AmerisourceBergen","10","-2","[{""revenues"":""213988.8"",""revenuePercentChange"":""12.7""}]","[{""profits"":""1539.9"",""profitPercentChange"":""0.0""}]","[{""assets"":""57337.8"",""marketValue"":""32355.7"",""employeeCount"":""40000""}]"
"Costco Wholesale","11","1","[{""revenues"":""195929.0"",""revenuePercentChange"":""17.5""}]","[{""profits"":""5007.0"",""profitPercentChange"":""25.1""}]","[{""assets"":""59268.0"",""marketValue"":""255230.7"",""employeeCount"":""288000""}]"
"Cigna","12","1","[{""revenues"":""174078.0"",""revenuePercentChange"":""8.5""}]","[{""profits"":""5365.0"",""profitPercentChange"":""-36.6""}]","[{""assets"":""154889.0"",""marketValue"":""76286.3"",""employeeCount"":""72963""}]"
"AT&T","13","-2","[{""revenues"":""168864.0"",""revenuePercentChange"":""-1.7""}]","[{""profits"":""20081.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""551622.0"",""marketValue"":""169262.4"",""employeeCount"":""202600""}]"
"Microsoft","14","1","[{""revenues"":""168088.0"",""revenuePercentChange"":""17.5""}]","[{""profits"":""61271.0"",""profitPercentChange"":""38.4""}]","[{""assets"":""333779.0"",""marketValue"":""2311358.9"",""employeeCount"":""181000""}]"
"Cardinal Health","15","-1","[{""revenues"":""162467.0"",""revenuePercentChange"":""6.2""}]","[{""profits"":""611.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""44453.0"",""marketValue"":""15709.4"",""employeeCount"":""46827""}]"
"Chevron","16","11","[{""revenues"":""162465.0"",""revenuePercentChange"":""71.6""}]","[{""profits"":""15625.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""239535.0"",""marketValue"":""317120.1"",""employeeCount"":""42595""}]"
"Home Depot","17","1","[{""revenues"":""151157.0"",""revenuePercentChange"":""14.4""}]","[{""profits"":""16433.0"",""profitPercentChange"":""27.7""}]","[{""assets"":""71876.0"",""marketValue"":""309312.6"",""employeeCount"":""490600""}]"
"Walgreens Boots Alliance","18","-2","[{""revenues"":""148579.0"",""revenuePercentChange"":""6.5""}]","[{""profits"":""2542.0"",""profitPercentChange"":""457.5""}]","[{""assets"":""81285.0"",""marketValue"":""38671.1"",""employeeCount"":""258500""}]"
"Marathon Petroleum","19","13","[{""revenues"":""141032.0"",""revenuePercentChange"":""58.5""}]","[{""profits"":""9738.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""85373.0"",""marketValue"":""47758.1"",""employeeCount"":""17700""}]"
"Elevance Health","20","3","[{""revenues"":""138639.0"",""revenuePercentChange"":""13.8""}]","[{""profits"":""6104.0"",""profitPercentChange"":""33.5""}]","[{""assets"":""97460.0"",""marketValue"":""118533.5"",""employeeCount"":""98200""}]"
